Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % CB,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PE RFU,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
7/5/23,9:51:24,0,<None>,1.13,51808.2,0.3,18.71,6.24,48339.7,75.3,75.8,4.91,0.434,31.68,48679.5,2.96,31642,4.52,0,7.94,-55.9,28.365,0.29,34.15606,-77.85645,-0.1,0,12,762.5
7/5/23,9:51:25,0,<None>,1.14,51807.9,0.301,18.76,6.25,48342.2,75.3,75.7,4.91,0.435,31.68,48681.8,2.99,31643,4.55,0,7.94,-55.9,28.362,0.301,34.15606,-77.85645,-0.2,0,12,762.5
7/5/23,9:51:26,0,<None>,1.14,51809.2,0.301,18.82,6.27,48345.6,75.3,75.7,4.91,0.436,31.69,48684.9,3,31645,4.55,0,7.94,-55.8,28.36,0.291,34.15606,-77.85645,-0.4,0,12,762.6
7/5/23,9:51:27,0,<None>,1.15,51814.6,0.302,18.79,6.26,48353.6,75.2,75.7,4.91,0.437,31.69,48692.7,2.99,31650,4.55,0,7.93,-55.8,28.356,0.289,34.15606,-77.85645,-0.3,0,12,762.5
7/5/23,9:51:28,0,<None>,1.52,51820.6,0.303,18.78,6.26,48364.6,75.2,75.6,4.91,0.439,31.7,48703.2,3,31657,4.57,0,7.93,-55.8,28.351,0.295,34.15606,-77.85645,-0.1,0,12,762.5
7/5/23,9:51:29,0,<None>,1.12,51827.6,0.304,18.8,6.27,48374.3,75.2,75.6,4.9,0.44,31.71,48712.5,3.05,31663,4.58,0,7.93,-55.7,28.347,0.294,34.15606,-77.85645,-0.1,0,12,762.6
7/5/23,9:51:30,0,<None>,1.26,51830.2,0.304,18.81,6.27,48380.1,75.2,75.6,4.9,0.44,31.71,48718,3.06,31667,4.58,0,7.93,-55.7,28.345,0.295,34.15606,-77.85645,-0.1,0,12,762.6
7/5/23,9:51:31,0,<None>,0.97,51834.6,0.303,18.78,6.26,48387.1,75.1,75.6,4.9,0.44,31.72,48724.8,3.09,31671,4.58,0,7.93,-55.7,28.341,0.28,34.15606,-77.85645,-0.1,0,12,762.5
7/5/23,9:51:32,0,<None>,1.01,51832.6,0.302,18.75,6.25,48385.1,75.1,75.5,4.9,0.438,31.71,48722.8,3.08,31670,4.56,0,7.93,-55.7,28.342,0.255,34.15607,-77.85645,-0.1,0,12,762.5
7/5/23,9:51:33,0,<None>,1.15,51826.5,0.301,18.74,6.25,48375.9,75.1,75.5,4.9,0.436,31.71,48713.9,3.09,31664,4.56,0,7.93,-55.7,28.345,0.275,34.15607,-77.85645,-0.3,0,12,762.6
7/5/23,9:51:34,0,<None>,1.23,51822.3,0.3,18.79,6.26,48368.4,75.1,75.5,4.9,0.435,31.7,48706.7,3.13,31659,4.55,0,7.93,-55.7,28.349,0.271,34.15607,-77.85644,-0.2,0,12,762.5
7/5/23,9:51:35,0,<None>,1.28,51820,0.298,18.82,6.27,48364,75.1,75.5,4.9,0.431,31.7,48702.5,3.16,31657,4.53,0,7.93,-55.7,28.351,0.225,34.15607,-77.85644,-0.2,0,12,762.5
7/5/23,9:51:36,0,<None>,1.28,51805.6,0.295,18.86,6.29,48345.1,75.1,75.5,4.9,0.427,31.69,48684.1,3.14,31645,4.54,0,7.93,-55.7,28.358,0.209,34.15608,-77.85644,-0.2,0,12,762.6
7/5/23,9:51:37,0,<None>,1.24,51769.7,0.291,18.95,6.32,48294,75.1,75.5,4.9,0.421,31.65,48634.6,3.12,31612,4.49,0,7.93,-55.7,28.375,0.192,34.15608,-77.85644,-0.3,0,12,762.5
7/5/23,9:51:38,0,<None>,1.17,51729.8,0.288,19.08,6.36,48235,75.1,75.5,4.9,0.417,31.61,48577.5,3.07,31575,4.43,0,7.93,-55.6,28.401,0.204,34.15609,-77.85643,-0.4,0,12,762.5
7/5/23,9:51:39,0,<None>,1.13,51691.2,0.284,19.22,6.41,48175.7,75,75.5,4.89,0.411,31.56,48520.4,3.03,31538,4.38,0,7.93,-55.5,28.421,0.167,34.15609,-77.85643,-0.3,0,12,762.6
