Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % CB,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
7/13/2022,09:59:25,0.0,<None>,5153.2,0.118,4871.6,43.8,43.6,3.40,0.099,2.61,4899.0,3184,5.98,0,7.88,-173.1,27.717,0.142,34.25164,-77.92811,6.8,5.16,12.1,763.7
7/13/2022,09:59:26,0.0,<None>,5160.8,0.119,4878.4,43.9,43.7,3.40,0.100,2.62,4905.9,3189,5.99,0,7.87,-172.8,27.720,0.143,34.25164,-77.92810,8.7,5.17,12.1,763.7
7/13/2022,09:59:27,0.0,<None>,5165.9,0.120,4883.0,44.0,43.8,3.41,0.103,2.62,4910.5,3192,6.00,0,7.86,-172.5,27.723,0.150,34.25164,-77.92809,9.1,5.17,12.1,763.7
7/13/2022,09:59:28,0.0,<None>,5162.3,0.121,4879.6,44.0,43.8,3.41,0.104,2.62,4907.1,3190,6.02,0,7.85,-172.1,27.724,0.143,34.25165,-77.92809,5.6,5.17,12.1,763.8
7/13/2022,09:59:29,0.0,<None>,5153.2,0.123,4871.0,44.1,43.9,3.42,0.106,2.61,4898.4,3184,6.02,0,7.85,-171.8,27.724,0.146,34.25166,-77.92809,6.4,5.17,12.1,763.8
7/13/2022,09:59:30,0.0,<None>,5150.3,0.124,4868.1,44.1,43.9,3.42,0.108,2.61,4895.6,3182,6.04,0,7.84,-171.5,27.725,0.153,34.25166,-77.92808,8.8,5.17,12.1,763.8
7/13/2022,09:59:31,0.0,<None>,5159.6,0.125,4876.6,44.1,43.9,3.42,0.110,2.62,4904.1,3188,6.04,0,7.83,-171.2,27.728,0.153,34.25167,-77.92808,7.6,5.17,12.1,763.7
7/13/2022,09:59:32,0.0,<None>,5171.8,0.126,4887.9,44.1,43.9,3.42,0.110,2.62,4915.5,3195,6.04,0,7.83,-170.8,27.731,0.135,34.25167,-77.92807,7.6,5.17,12.1,763.7
7/13/2022,09:59:33,0.0,<None>,5184.5,0.127,4899.4,44.2,44.0,3.42,0.112,2.63,4927.1,3203,6.04,0,7.82,-170.5,27.735,0.133,34.25168,-77.92807,9.7,5.17,12.1,763.7
7/13/2022,09:59:34,0.0,<None>,5189.4,0.128,4903.7,44.2,44.0,3.42,0.113,2.63,4931.4,3205,6.03,0,7.81,-170.2,27.739,0.135,34.25169,-77.92806,11.3,5.17,12.1,763.7
7/13/2022,09:59:35,0.0,<None>,5205.7,0.128,4918.7,44.1,43.9,3.42,0.114,2.64,4946.6,3215,6.04,0,7.81,-169.9,27.742,0.132,34.25171,-77.92805,9.3,5.17,12.1,763.7
7/13/2022,09:59:36,0.0,<None>,5219.4,0.128,4931.3,44.1,43.9,3.42,0.114,2.65,4959.3,3224,6.05,0,7.80,-169.6,27.747,0.124,34.25172,-77.92805,8.0,5.16,12.1,763.7
7/13/2022,09:59:37,0.0,<None>,5230.7,0.129,4941.6,44.1,43.9,3.42,0.115,2.65,4969.7,3230,6.06,0,7.79,-169.3,27.750,0.128,34.25173,-77.92805,9.0,5.16,12.1,763.7
7/13/2022,09:59:38,0.0,<None>,5235.8,0.130,4946.1,44.0,43.8,3.41,0.116,2.66,4974.3,3233,6.08,0,7.79,-169.0,27.752,0.139,34.25174,-77.92805,9.0,5.16,12.1,763.7
7/13/2022,09:59:39,0.0,<None>,5232.7,0.131,4943.1,44.0,43.8,3.41,0.117,2.65,4971.3,3231,6.09,0,7.78,-168.8,27.753,0.144,34.25175,-77.92804,7.4,5.16,12.1,763.8
7/13/2022,09:59:40,0.0,<None>,5233.6,0.132,4943.9,43.9,43.7,3.40,0.119,2.65,4972.1,3232,6.10,0,7.78,-168.5,27.753,0.138,34.25176,-77.92805,7.8,5.16,12.1,763.7
